idx,char_pos,cmdVx,cmdVy,cmdVw,ts
282,65012,0.0007,0.0,0.0,2026-05-06 15:22:04.537
283,65059,0.0,0.0,0.0,2026-05-06 15:22:04.537
284,65278,0.0,0.0,0.0,2026-05-06 15:22:04.537
285,65497,0.0,0.0,0.0,2026-05-06 15:22:04.537
286,65543,0.0,0.0,0.0,2026-05-06 15:22:04.537
287,65767,0.0,0.0,0.0,2026-05-06 15:22:04.537
288,65988,0.0,0.0,0.0,2026-05-06 15:22:04.537
289,66033,0.0,0.0,0.0,2026-05-06 15:22:04.537
290,66254,0.0,0.0,0.0,2026-05-06 15:22:04.537
291,66474,0.0,0.0,0.0,2026-05-06 15:22:04.537
292,66519,0.0,0.0,0.0,2026-05-06 15:22:04.537
293,66739,0.0,0.0,0.0,2026-05-06 15:22:04.537
294,66958,0.0,0.0,0.0,2026-05-06 15:22:04.537
295,67179,0.0,0.0,0.0,2026-05-06 15:22:04.537
296,67401,0.0,0.0,0.0,2026-05-06 15:22:04.537
297,67461,0.0005,0.0,0.0,2026-05-06 15:22:04.537
298,67679,0.0005,0.0,0.0,2026-05-06 15:22:04.537
299,67897,0.001,0.0,0.0,2026-05-06 15:22:04.537
300,67948,0.0047,0.0,0.0,2026-05-06 15:22:04.537
301,68167,0.0054,0.0,0.0,2026-05-06 15:22:04.537
302,68386,0.0061,0.0,0.0,2026-05-06 15:22:04.537
303,68432,0.0113,0.0,0.0,2026-05-06 15:22:04.537
304,68650,0.0124,0.0,0.0,2026-05-06 15:22:04.537
305,68868,0.0134,0.0,0.0,2026-05-06 15:22:04.537
306,68915,0.0208,0.0,0.0,2026-05-06 15:22:04.537
307,69133,0.0222,0.0,0.0,2026-05-06 15:22:04.537
308,69351,0.0237,0.0,0.0,2026-05-06 15:22:04.537
309,69455,0.0361,0.0,0.0,2026-05-06 15:22:04.537
310,69674,0.0382,0.0,0.0,2026-05-06 15:22:04.537
311,69837,0.0382,0.0,0.0,2026-05-06 15:22:04.537
312,69997,0.0555,0.0,0.0,2026-05-06 15:22:04.537
313,70216,0.0555,0.0,0.0,2026-05-06 15:22:05.258
314,70341,0.0782,0.0,0.0,2026-05-06 15:22:05.258
315,70559,0.082,0.0,0.0,2026-05-06 15:22:05.258
316,70777,0.082,0.0,0.0,2026-05-06 15:22:05.258
317,70824,0.107,0.0,0.0,2026-05-06 15:22:05.258
318,71042,0.107,0.0,0.0,2026-05-06 15:22:05.258
319,71260,0.1116,0.0,0.0,2026-05-06 15:22:05.258
320,71307,0.1466,0.0,0.0,2026-05-06 15:22:05.258
321,71525,0.1466,0.0,0.0,2026-05-06 15:22:05.258
322,71743,0.152,0.0,0.0,2026-05-06 15:22:05.258
323,71790,0.1848,0.0,0.0,2026-05-06 15:22:05.258
324,72008,0.1902,0.0,0.0,2026-05-06 15:22:05.258
325,72226,0.1902,0.0,0.0,2026-05-06 15:22:05.258
326,72273,0.2222,0.0,0.0,2026-05-06 15:22:05.258
327,72491,0.2272,0.0,0.0,2026-05-06 15:22:05.258
328,72709,0.2322,0.0,0.0,2026-05-06 15:22:05.258
329,72756,0.2595,0.0,0.0,2026-05-06 15:22:05.258
330,73097,0.2595,0.0,0.0,2026-05-06 15:22:05.258
331,73216,0.2857,0.0,0.0,2026-05-06 15:22:05.258
332,73437,0.2889,0.0,0.0,2026-05-06 15:22:05.258
333,73655,0.2889,0.0,0.0,2026-05-06 15:22:05.258
334,73702,0.3083,0.0,0.0,2026-05-06 15:22:05.258
335,73920,0.3106,0.0,0.0,2026-05-06 15:22:05.258
336,74137,0.3106,0.0,0.0,2026-05-06 15:22:05.258
337,74185,0.3226,0.0,0.0,2026-05-06 15:22:05.258
338,74402,0.3226,0.0,0.0,2026-05-06 15:22:05.258
339,74619,0.3244,0.0,0.0,2026-05-06 15:22:05.258
340,74667,0.3344,0.0,0.0,2026-05-06 15:22:05.258
341,74885,0.3344,0.0,0.0,2026-05-06 15:22:05.258
342,75103,0.3356,0.0,0.0,2026-05-06 15:22:05.258
343,75150,0.3418,0.0,0.0,2026-05-06 15:22:05.258
344,75368,0.3426,0.0,0.0,2026-05-06 15:22:05.258
345,75586,0.3426,0.0,0.0,2026-05-06 15:22:05.258
346,75633,0.3471,0.0,0.0,2026-05-06 15:22:05.258
347,75851,0.3477,0.0,0.0,2026-05-06 15:22:05.258
348,76069,0.3483,0.0,0.0,2026-05-06 15:22:05.258
349,76116,0.35,0.0,0.0,2026-05-06 15:22:05.258
350,76334,0.35,0.0,0.0,2026-05-06 15:22:05.258
351,76552,0.35,0.0,0.0,2026-05-06 15:22:05.258
352,76599,0.35,0.0,0.0,2026-05-06 15:22:05.258
353,76817,0.35,0.0,0.0,2026-05-06 15:22:05.258
354,77035,0.35,0.0,0.0,2026-05-06 15:22:05.258
355,77196,0.35,0.0,0.0,2026-05-06 15:22:05.258
356,77414,0.35,0.0,0.0,2026-05-06 15:22:05.258
357,77539,0.35,0.0,0.0,2026-05-06 15:22:05.258
358,77757,0.35,0.0,0.0,2026-05-06 15:22:05.258
359,77975,0.35,0.0,0.0,2026-05-06 15:22:05.258
360,78022,0.35,0.0,0.0,2026-05-06 15:22:05.258
361,78240,0.35,0.0,0.0,2026-05-06 15:22:05.744
362,78461,0.35,0.0,0.0,2026-05-06 15:22:05.744
363,78508,0.35,0.0,0.0,2026-05-06 15:22:05.744
364,78726,0.35,0.0,0.0,2026-05-06 15:22:05.744
365,78944,0.35,0.0,0.0,2026-05-06 15:22:05.744
366,78991,0.35,0.0,0.0,2026-05-06 15:22:05.744
367,79209,0.35,0.0,0.0,2026-05-06 15:22:05.744
368,79427,0.35,0.0,0.0,2026-05-06 15:22:05.744
369,79474,0.35,0.0,0.0,2026-05-06 15:22:05.744
370,79692,0.35,0.0,0.0,2026-05-06 15:22:05.744
371,79910,0.35,0.0,0.0,2026-05-06 15:22:05.744
372,79957,0.35,0.0,0.0,2026-05-06 15:22:05.744
373,80175,0.35,0.0,0.0,2026-05-06 15:22:05.744
374,80393,0.35,0.0,0.0,2026-05-06 15:22:05.744
375,80497,0.35,0.0,0.0,2026-05-06 15:22:05.744
376,80715,0.35,0.0,0.0,2026-05-06 15:22:05.744
377,80877,0.35,0.0,0.0,2026-05-06 15:22:05.744
378,80923,0.35,0.0,0.0,2026-05-06 15:22:05.744
379,81141,0.35,0.0,0.0,2026-05-06 15:22:05.744
380,81359,0.35,0.0,0.0,2026-05-06 15:22:05.744
381,81406,0.35,0.0,0.0,2026-05-06 15:22:05.744
382,81624,0.35,0.0,0.0,2026-05-06 15:22:05.744
383,81842,0.35,0.0,0.0,2026-05-06 15:22:05.744
384,81889,0.35,0.0,0.0,2026-05-06 15:22:05.744
385,82107,0.35,0.0,0.0,2026-05-06 15:22:05.744
386,82325,0.35,0.0,0.0,2026-05-06 15:22:05.744
387,82372,0.35,0.0,0.0,2026-05-06 15:22:05.744
388,82590,0.35,0.0,0.0,2026-05-06 15:22:05.744
389,82808,0.35,0.0,0.0,2026-05-06 15:22:05.744
390,82855,0.35,0.0,0.0,2026-05-06 15:22:05.744
391,83073,0.35,0.0,0.0,2026-05-06 15:22:05.744
392,83291,0.35,0.0,0.0,2026-05-06 15:22:05.744
393,83338,0.35,0.0,0.0,2026-05-06 15:22:05.744
394,83556,0.35,0.0,0.0,2026-05-06 15:22:06.404
395,83774,0.35,0.0,0.0,2026-05-06 15:22:06.404
396,83821,0.35,0.0,0.0,2026-05-06 15:22:06.404
397,84039,0.35,0.0,0.0,2026-05-06 15:22:06.404
398,84257,0.35,0.0,0.0,2026-05-06 15:22:06.404
399,84304,0.35,0.0,0.0,2026-05-06 15:22:06.404
400,84522,0.35,0.0,0.0,2026-05-06 15:22:06.404
401,84740,0.35,0.0,0.0,2026-05-06 15:22:06.404
402,84901,0.35,0.0,0.0,2026-05-06 15:22:06.404
403,85119,0.35,0.0,0.0,2026-05-06 15:22:06.404
404,85244,0.35,0.0,0.0,2026-05-06 15:22:06.404
405,85462,0.35,0.0,0.0,2026-05-06 15:22:06.404
406,85683,0.35,0.0,0.0,2026-05-06 15:22:06.404
407,85730,0.35,0.0,0.0,2026-05-06 15:22:06.404
408,85948,0.35,0.0,0.0,2026-05-06 15:22:06.404
409,86166,0.35,0.0,0.0,2026-05-06 15:22:06.404
410,86213,0.35,0.0,0.0,2026-05-06 15:22:06.404
411,86431,0.35,0.0,0.0,2026-05-06 15:22:06.404
412,86649,0.35,0.0,0.0,2026-05-06 15:22:06.404
413,86696,0.35,0.0,0.0,2026-05-06 15:22:06.404
414,86914,0.35,0.0,0.0,2026-05-06 15:22:06.404
415,87132,0.35,0.0,0.0,2026-05-06 15:22:06.404
416,87179,0.35,0.0,0.0,2026-05-06 15:22:06.404
417,87397,0.35,0.0,0.0,2026-05-06 15:22:06.404
418,87615,0.35,0.0,0.0,2026-05-06 15:22:06.404
419,87662,0.35,0.0,0.0,2026-05-06 15:22:06.404
420,87880,0.35,0.0,0.0,2026-05-06 15:22:06.404
421,88098,0.35,0.0,0.0,2026-05-06 15:22:06.404
422,88145,0.35,0.0,0.0,2026-05-06 15:22:06.404
423,88363,0.35,0.0,0.0,2026-05-06 15:22:06.404
424,88581,0.35,0.0,0.0,2026-05-06 15:22:06.404
425,88628,0.35,0.0,0.0,2026-05-06 15:22:06.404
426,88846,0.35,0.0,0.0,2026-05-06 15:22:06.404
